gn,title,artist,src,bpm,fileId
sdom1956,WOW,蕭亞軒,songname,165.0,11956
sdom1955,習慣就好,羅志祥,songname,130.42,11955
sdom1954,不愛請閃開,蕭亞軒,songname,123.0,11954
sdom1953,愛的主題秀,羅志祥,songname,140.0,11953
sdom1952,Happy Loving,王心凌,songname,125.0,11952
sdom1951,閃閃惹人愛,蕭亞軒,songname,130.0,11951
sdom1950,雨愛,楊丞琳,songname,80.08,11950
sdom1949,羅生門,羅志祥,songname,105.0,11949
sdom1948,心電心,王心凌,songname,140.0,11948
sdom1947,有膽你就來,張惠妹,songname,120.0,11947
sdom1886,海賊王,COLOR,songname,85.0,11886
sdom1885,Hey!,蔡旻佑,songname,83.0,11885
sdom1884,白色謊言,戴愛玲,songname,88.0,11884
sdom1883,小乖乖,蔡旻佑,songname,125.0,11883
sdom1882,光速青春,COLOR,songname,86.5,11882
sdom1881,鑽石糖,蕭亞軒,songname,125.0,11881
sdom1880,我的寶貝,蔡旻佑,songname,81.5,11880
sdom1879,暖氣系,盧學叡,songname,73.5,11879
sdom1878,可不可以愛我,盧學叡,songname,70.0,11878
sdom1877,Rock'n Roll Crazy,Richard Myhill,songname,189.9,11877
sdom1815,看得最遠地方,張韶涵,songname,112.0,11815
sdom1811,Kizuna,Orange Range,songname,156.0,11811
sdom1810,Ishindenshin,Orange Range,songname,140.07,11810
sdom1809,Asterisk,Orange Range,songname,128.0,11809
sdom1808,Shanghai Honey,Orange Range,songname,130.0,11808
sdom1806,Walking Through the Rain,百代著作權,songname,177.0,11806
sdom1805,Force of Nature,百代著作權,songname,175.0,11805
sdom1804,Smart Bomb,百代著作權,songname,148.0,11804
sdom1803,Little Melody,百代著作權,songname,148.0,11803
sdom1802,讓我愛你,周瑜民&徐熙媛,songname,90.0,11802
sdom1770,Toontime,證聲,songname,140.0,11770
sdom1769,What Makes the World Go Round,證聲,songname,124.02,11769
sdom1768,The Beauty Inside,證聲,songname,130.0,11768
sdom1767,Gravedigger,證聲,songname,170.0,11767
sdom1766,Let Yourself Go,證聲,songname,135.97,11766
sdom1765,Destination Z3,火楓紅葉,songname,160.0,11765
sdom1764,傻得可以,范瑋琪,songname,95.0,11764
sdom1763,想知道現在你好不好,范瑋琪,songname,88.0,11763
sdom1762,1到10＝我和你,范瑋琪,songname,80.0,11762
sdom1761,Supermarket 超級市場,曹格,songname,143.8,11761
sdom1760,Skin On Skin,U.Franke&A.Breitschaft,songname,135.0,11760
sdom1759,和你一起,許茹芸,songname,83.5,11759
sdom1758,一有愛就走吧,許茹芸,songname,126.0,11758
sdom1757,愛上這世界,周瑜民,songname,110.0,11757
sdom1736,DNA,王力宏,songname,152.0,11736
sdom1733,小情歌,蘇打綠,songname,132.0,11733
sdom1732,你的歌,陶吉吉,songname,144.0,11732
sdom1730,花蝴蝶,蔡依林,songname,124.0,11730
sdom1729,無重力,潘偉柏,songname,54.0,11729
sdom1728,當你想著我,品冠,songname,107.0,11728
sdom1727,王妃,蕭敬滕,songname,127.0,11727
sdom1726,我會很愛你,言承旭,songname,110.0,11726
sdom1725,法克這個人,蕭閎仁,songname,84.0,11725
sdom1724,相愛後動物感傷,張惠妹,songname,115.0,11724
sdom1723,我是傳奇,棒棒堂,songname,110.0,11723
sdom1722,一切為了愛,品冠,songname,86.0,11722
sdom1721,戀愛絕句選,黃雅莉,songname,97.0,11721
sdom1720,在樹上唱歌,郭靜,songname,130.0,11720
sdom1719,把心拉近,吳克群,songname,123.0,11719
sdom1718,放開你的頭腦,溫嵐,songname,114.0,11718
sdom1717,城市,張懸,songname,100.0,11717
sdom1716,Beautiful woman,張懸,songname,153.0,11716
sdom1715,第89鍵,蕭閎仁,songname,88.0,11715
sdom1711,雙人舞,潘偉柏,songname,74.0,11711
sdom1710,親愛的,潘偉柏,songname,90.0,11710
sdom1702,funrun,胡彥斌,songname,145.85,11702
sdom1695,愛極限,許慧欣,songname,147.0,11695
sdom1684,痞子和英雄,鄒承恩,songname,166.0,11684
sdom1683,破天荒,張芸京,songname,123.0,11683
sdom1682,哪裡怕,棒棒堂,songname,108.0,11682
sdom1681,我們之間,棒棒堂,songname,160.0,11681
sdom1680,夏日初體驗,棒棒堂,songname,142.01,11680
sdom1679,天色,中川翔子,songname,174.02,11679
sdom1678,小姐，請你給我愛,橘子新樂園,songname,160.0,11678
sdom1677,愛的大行進,橘子新樂園,songname,114.0,11677
