fileId,title,artist,producer,gn,mode,bpm,offsetMs,src,lvEasy,lvNormal,lvHard,notesEasy,notesNormal,notesHard,durEasy,durNormal,durHard,measEasy,measNormal,measHard,chartBpm,titleZhCn,artistZhCn,titleEn,artistEn,origName,enc,seed,seed1,seed2,innerOff,size
10001,野蠻遊戲,蔡依林,YO!610,sdom0001k.gn,K,139,-25,songname,3,4,5,510,598,744,188,188,188,357,384,417,139,野蛮游戏,蔡依林,,,sdom0001K.gm,sdom,9458173,,,456,78312
1,野蠻遊戲,蔡依林,Yo!610,sdom0001t.gn,T,139,-25,songname,1,3,5,284,448,682,188,188,188,862,869,864,139,野蛮游戏,蔡依林,,,sdom0001T.gm,sdom,14955976,,,456,499560
10002,算你狠,陳小春,Tina,sdom0002k.gn,K,93,-28,songname,1,3,4,212,309,455,172,172,172,641,598,735,93,算你狠,陈小春,,,sdom0002K.gm,rewu,5378792,,,,159756
2,算你狠,陳小春,S.Q.H,sdom0002t.gn,T,93,-28,songname,1,1,3,216,221,332,172,172,172,637,639,596,93,算你狠,陈小春,,,sdom0002T.gm,rewu,6913807,,,,153248
10003,不如跳舞,陳慧琳,donavan,sdom0003k.gn,K,140,-30,kgn,1,4,4,211,510,528,135,135,135,703,667,669,140,不如跳舞,陈慧琳,,,sdom0003K.gm,rewu,3628250,,,,146268
3,不如跳舞,陳慧琳,donavan,sdom0003t.gn,T,140,-30,kgn,1,1,4,102,206,500,135,135,135,647,699,672,140,不如跳舞,陈慧琳,,,sdom0003T.gm,rewu,6964435,,,,144216
10004,寵物男孩,COCO,Wolf.R,sdom0004k.gn,K,130.5,-11,songname,1,1,5,172,189,536,141,141,141,457,509,591,130.5,宠物男孩,李玟,,,sdom0004K.gm,rewu,11602070,,,,106948
4,寵物男孩,COCO,Donavan,sdom0004t.gn,T,130.5,-11,songname,1,1,5,162,183,524,141,141,141,450,506,591,130.5,宠物男孩,李玟,,,sdom0004T.gm,rewu,15342964,,,,108868
10005,快樂崇拜,潘瑋柏&張韶涵,S.Q.H,sdom0005k.gn,K,125,-30,songname,2,2,6,342,378,621,161,161,161,776,781,709,125,快乐崇拜,潘玮柏vs张韶涵,,,sdom0005K.gm,rewu,1044917,,,,371604
5,快樂崇拜,潘瑋柏&張韶涵,S.Q.H,sdom0005t.gn,T,125,-30,songname,2,2,2,306,320,363,161,161,161,755,762,776,125,快乐崇拜,潘玮柏vs张韶涵,,,sdom0005T.gm,rewu,7935477,,,,387444
10006,不得不愛,潘瑋柏,zanzuki,sdom0006k.gn,K,80,-73,songname,1,2,5,248,413,696,213,213,213,813,783,768,80,不得不爱,潘玮泊,,,sdom0006K.gm,sdom,11823522,,,456,190712
6,不得不愛,潘瑋柏,zanzuki,sdom0006t.gn,T,80,-73,songname,1,1,2,118,243,408,213,213,213,796,807,776,80,不得不爱,潘玮泊,,,sdom0006T.gm,sdom,12881387,,,456,190712
10007,充電,李宰鎮,zanzuki,sdom0007k.gn,K,113,-25,kgn,1,1,2,137,249,331,150,150,150,286,301,323,113,充电,李宰镇,,,sdom0007K.gm,rewu,16559437,,,,64980
7,充電,李宰鎮,zanzuki,sdom0007t.gn,T,113,-25,kgn,1,1,1,130,240,283,150,150,150,231,253,277,113,充电,李宰镇,,,sdom0007T.gm,rewu,16455100,,,,54552
10008,狠狠愛,vivan,S.Q.H,sdom0008k.gn,K,112,-67,kgn,1,1,3,138,152,330,165,165,165,272,275,323,112,狠狠爱,vivan,,vivan,sdom0008K.gm,rewu,935380,,,,69096
8,狠狠愛,vivan,sqh,sdom0008t.gn,T,112,-67,kgn,1,1,1,127,133,144,165,165,165,249,269,273,112,狠狠爱,vivan,,vivan,sdom0008T.gm,rewu,223976,,,,62836
10009,禪舞不二,潘瑋泊,9you,sdom0009k.gn,K,95,-71,kgn,1,2,4,134,249,479,164,164,164,373,393,393,95,禅舞不二,潘玮泊,,,sdom0009K.gm,rewu,736269,,,,80328
9,禪舞不二,潘瑋泊,9you,sdom0009t.gn,T,95,-71,kgn,1,1,2,74,134,249,164,164,164,335,373,393,95,禅舞不二,潘玮泊,,,sdom0009T.gm,rewu,13740203,,,,76332
