下架的吉祥物系列（18 列）
id	model	部位	名稱
3000963	963	女髮	Ultraman Hair F
1200964	964	女連身	Ultraman Top F
2000965	965	女手套	Ultraman Gloves F
1400966	966	女鞋	Ultraman Shoes F
3000967	967	女髮	Panda Hair F
1200968	968	女連身	Panda Suit F
2000969	969	道具手套	Panda Gloves F
3000971	971	男髮	Panda Hair M
1200972	972	男連身	Panda Suit M
2000973	973	道具手套	Panda Gloves M
3000979	979	男髮	Yellow Chicky M
1200980	980	男連身	Chicky Suit M
1400981	981	男鞋	Chicky Shoes M
3000982	982	女髮	Yellow Chicky F
1200983	983	女連身	Chicky Suit F
1400984	984	女鞋	Chicky Shoes F
3015435	15435	男髮	Chicky Hair M
3015436	15436	女髮	Chicky Hair F
