gn,fileId,title,artist
sdom5085,15085,Identic Conflict,BBN
sdom5084,15084,ANiMA,Xi
sdom5083,15083,TT,Twice
sdom5082,15082,Persephone,Ebico
sdom5081,15081,Garasu no Hitomi,Sid
sdom5080,15080,Imprinting,Sakuzyo
sdom5079,15079,Beautiful,Crush
sdom5074,15074,Catch Me If You Can,SNSD
sdom5073,15073,Holy Knight,Eyemedia
sdom5072,15072,Odin,Black Another
sdom5071,15071,Raison D'etre,Zektbach
sdom5070,15070,Sorceress Elise,Yahpp
sdom5069,15069,Dynasty,Yooh
sdom5068,15068,Butter-Fly,Wada Kouji
sdom5067,15067,Saika,Rabpit
sdom5066,15066,Rising Hope,LiSA
sdom5065,15065,Axion,Sakuzyo
sdom5064,15064,This Game,Konomi Suzuki
sdom5062,15062,Clattanoia,OxT
sdom5060,15060,Almagest,Galdeira
sdom5053,15053,THE HERO !!,JAM Project
sdom5051,15051,Akasagarbha,Wa. vs ETIA.
sdom5048,15048,Elpis,dj TAKA
sdom5047,15047,Ignite,Eir Aoi
sdom5046,15046,Turii,Panta Rhei
sdom5045,15045,Great Escape,Cinema Staff
sdom5044,15044,Jiyuu no Tsubasa,Linked Horizon
sdom5042,15042,Ryoushi No Umi No Rintovurumu,TOMOSUKE
sdom5041,15041,ViViD,May'n
sdom5040,15040,Pure Ruby,Shiki
sdom5035,15035,Shinsekai,Shiraishi
sdom5033,15033,Gentleman,PSY
sdom5030,15030,Guren no Yumiya,Linked Horizon
sdom5029,15029,Tonight,Bigbang
sdom5028,15028,My Dearest,Supercell
sdom5027,15027,Pandora,KARA
sdom5026,15026,I Got A Boy,SNSD
sdom5025,15025,Crayon,G-Dragon
sdom5024,15024,Heartbreaker,G-Dragon
sdom5023,15023,Silly-Go-Round,Yuuka
sdom5022,15022,Joker,DJ Nero
sdom5021,15021,Libera Me,Cranky
sdom5020,15020,V2,DJ TAKA
sdom5019,15019,V,DJ TAKA
sdom5018,15018,Jihad,Kotoko
sdom5017,15017,Phantom of Blue,Maximum Tune
sdom5016,15016,Explosive,Bond
sdom5015,15015,Catch Me,TVXQ
sdom5014,15014,Uso,Full Metal Alchemist
sdom5013,15013,Wedding Dress,Taeyang
sdom5012,15012,My Colorful Confuse,Gumi
sdom5011,15011,Blazability,M.O.V.E.
sdom5010,15010,Forever Young,Initial D
sdom5009,15009,Unfinished,Accel World
sdom5008,15008,Crossing Field,Sword Art Online
sdom5007,15007,Heart of Witch,DJ Max Black Square
sdom5006,15006,Resonance,Soul Eater
sdom5005,15005,Running In The 90's,Initial D
sdom5004,15004,Space Boy,Initial D
sdom5003,15003,Gamble Ramble,Initial D
sdom5002,15002,Final Countdown,Initial D
sdom5001,15001,Dogfight,Initial D
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
sdom2949,12949,答案,"楊坤,郭采潔"
sdom2948,12948,Lemon (檸檬),春茶
sdom2946,12946,雨き声残響,すぃ
sdom2945,12945,ピースサイン,米津玄師
sdom2944,12944,俯瞰show,BIGMAMA
sdom2943,12943,海草舞,蕭全
sdom2942,12942,帶你去旅行,校長（張馳）
sdom2941,12941,佛系少女,馮提莫
sdom2940,12940,Please Don't Go,Afterfab
sdom2939,12939,123我愛你,新樂塵符
sdom2935,12935,SHADOW,Stevie Hoang
sdom2934,12934,Rumors,Jake Miller
sdom2933,12933,Booty Music,Deep Side
sdom2932,12932,"Calvin Harris,Rihanna",This Is What You Came For
sdom2931,12931,Send It,"Austin Mahone,Rich Homie Quan"
sdom2930,12930,Not Another Song About Love,Hollywood Ending
sdom2929,12929,Tonight Tonight,Hot Chelle Rae
sdom2928,12928,I Love The Rain,Claude Kelly
sdom2927,12927,Juliet,LMNT
sdom2926,12926,Everybody Hurts,Avril Lavigne
sdom2925,12925,When Can I See You Again？,Owl City
sdom2924,12924,Galway Girl,Madilyn Bailey
sdom2923,12923,Insomnia,Craig David
sdom2922,12922,Young,Cosmos & Creature
sdom2921,12921,Attention,Charlie Puth
sdom2920,12920,TEENAGE LIFE,Various Artists
sdom2919,12919,Love Yourself,"Natio,Justin Bieber,Conor Mayna"
sdom2918,12918,Cooler Than Me,Mike Posner
sdom2917,12917,Panama,Matteo
sdom2916,12916,Out of Breath,Jared Lee
sdom2915,12915,Runaway,Groove Coverage
sdom2914,12914,Price Tag,Fréro Delavega
sdom2913,12913,Autumn Goodbye,Britney Spears
sdom2912,12912,Get the Party Started,P!nk
sdom2911,12911,Boys,Smile. DK
sdom2910,12910,Sexual Healing,Elize
sdom2908,12908,Que Sera,Justice Crew
sdom2907,12907,Told You So,Christopher
sdom2906,12906,I Can Do It,Elin Lanto
sdom2905,12905,Bulletproof Heart,Indian Boi
sdom2904,12904,Flow,Brittany Underwood
sdom2903,12903,Smile,Dami Im
sdom2901,12901,Stuttering,Fefe Dobson
sdom2900,12900,Fade,Alan Walker
sdom2899,12899,白金ディスコ,井口裕香
sdom2898,12898,The Lazy Song,Bruno Mars
sdom2897,12897,桃源戀歌,GARNiDELiA
sdom2896,12896,Cut to the Feeling,Carly Rae Jepsen
sdom2895,12895,Swish Swish,"Katy Perry,Nicki Minaj"
sdom2894,12894,Payphone,"Maroon 5,Wiz Khalifa"
sdom2893,12893,Tiny Tiny,村川梨衣
sdom2892,12892,Creatures Of The Night,"Hardwell,Austin Mahone"
sdom2891,12891,Youngblood,Hilary Duff
sdom2890,12890,Good Time,Jason Chen
sdom2889,12889,Imprinting,削除
sdom2888,12888,硝子の瞳,Sid
sdom2887,12887,Counting Stars,OneRepublic
sdom2886,12886,My Boyfriend Is Gay,Hailey Rowe
sdom2885,12885,Shake Your Body,羅志祥等
sdom2884,12884,チキンLINE,SKE48
sdom2883,12883,The Greatest,Sia
sdom2882,12882,Don't Wanna Know,Maroon 5
sdom2881,12881,marry the night,Little Glee Monster
sdom2880,12880,尋找理想型,殆死悲愛
sdom2879,12879,I Was King,ONE OK ROCK
sdom2878,12878,Wherever You Will Go,Jay Smith
sdom2877,12877,費玉清,嘿嘿嘿
sdom2876,12876,Shut up!!,THE SECOND from EXILE
sdom2875,12875,Sofia,Alvaro Soler
sdom2874,12874,Summer on You,Sam Feldt
sdom2873,12873,ありがとう,SMAP
sdom2872,12872,Je m'en fous,Ridsa
sdom2871,12871,Let Me Hold You,Cheat Codes
sdom2870,12870,Winter Diary,浜崎あゆみ
sdom2869,12869,Don't You Know,"Kungs,Jamie N Commons"
sdom2868,12868,Starving,Hailee Steinfeld
sdom2867,12867,No Holding Back,"Hardwell,Craig David"
sdom2866,12866,I Love You,A-Peace
sdom2865,12865,Can't Feel My Face,The Weeknd
sdom2864,12864,Player,Tinashe、Chris Brown
sdom2863,12863,Unbelievable,Owl City、Hanson
sdom2862,12862,One Dance,"Drake,WizKid,Kyla"
sdom2861,12861,Different for Girls,"Dierks Bentley,Elle King"
sdom2860,12860,Married To The Music,SHINee
sdom2859,12859,Sorry,Justin Bieber
sdom2858,12858,Cinderella,CNBLUE
sdom2857,12857,Boys Like You,Ariana Grande
sdom2856,12856,Cool For The Summer,Demi Lovato
sdom2855,12855,Hands To Myself,Selena Gomez
sdom2854,12854,Hold On,AXODUS、Key
sdom2853,12853,So Crazy,T-ara
sdom2852,12852,Around U,Ellie Goulding
sdom2851,12851,Magnets,Disclosure、Lorde
sdom2850,12850,Johnny,Ailee
sdom2849,12849,The Original High,Adam Lambert
sdom2848,12848,You’ll Be Mine,Havana Brown
sdom2847,12847,Oops Jaime Pas Langlais,Gullia
sdom2846,12846,Believe It,Cimorelli
sdom2845,12845,El Mismo Sol,Jennifer Lopez、Alvaro Soler
sdom2844,12844,Doo Be Di Boy,Smile
sdom2843,12843,Platonic Love,SNUPER
sdom2842,12842,La Mordidita,Ricky Martin
sdom2841,12841,Dying For You,Otto Knows
sdom2840,12840,Like Ooh-Ahh,Twice
sdom2839,12839,One Step At A Time,Jordin Sparks
