gn,title,artist,src,bpm,fileId
sdom0026,使者,N.R.G,kgn,127,10026
sdom0039,I NEED YOU,麻吉弟弟,kgn,160.01,10039
sdom0043,I Say Yeah,vilin,kgn,137.01,10043
sdom0047,成人禮,朴志胤,kgn,99.05,10047
sdom0063,DUB I DUB,sdo,kgn,136.01,10063
sdom0073,永久指標,エイジアエンジニア,kgn,85,10073
sdom0087,像你的眼睛一樣,夏奇拉,kgn,127,10087
sdom0103,木馬屠城記,王心凌,kgn,106,10103
sdom0107,Anymotion,李孝利,kgn,134.1,10107
sdom0108,第三次的愛,蔡妍,kgn,128,10108
sdom0111,jewel song,寶兒,kgn,112,10111
sdom0115,Give My Love,9you,kgn,90,10115
sdom0117,Feel fine,倉木麻衣,kgn,152,10117
sdom0118,NeverSayGoodbye,MY GIRL,kgn,100.02,10118
sdom0129,So sick,Ne-yo,kgn,95,10129
sdom0132,分開旅行,黃立行vs劉若英,kgn,86,10132
sdom0141,Thank You,W-inds,kgn,139.98,10141
sdom0142,I still love you,W-inds,kgn,170,10142
sdom0143,this time,W-inds,kgn,153.98,10143
sdom0147,花樣,松隆子,kgn,87,10147
sdom0151,its like that,mariah carey,kgn,97,10151
sdom0155,孤單芭蕾,李貞賢,kgn,132,10155
sdom0173,Without You,TMY,kgn,134.01,10173
sdom0175,狂,SG Wannabe,kgn,130,10175
sdom0180,Luxury,Han Nah,kgn,120,10180
sdom0189,沒有像我這樣的人,Super junior,kgn,115,10189
sdom0191,Bingo,高耀太,kgn,150,10191
sdom0195,七年的愛,金賢政,kgn,142,10195
sdom0199,花火,高耀太,kgn,142,10199
sdom0215,罪與罰,SG Wannabe,kgn,110.98,10215
sdom0276,Super Junior,Se7en,kgn,86,10276
sdom0294,lalalove,wk,kgn,125,10294
sdom0295,Like Fire Tonight,KING,kgn,120,10295
sdom0298,亞特蘭提斯少女,BOA,kgn,110,10298
sdom0299,純情,高耀太,kgn,137,10299
sdom0301,別冊附錄,NRG,kgn,132.01,10301
sdom0303,第一天,孫燕姿,kgn,176,10303
sdom0313,Mr.Q,蔡依林,kgn,152,10313
sdom0400,moonlight shadow（REMIX）,groove coverage,kgn,140,10400
sdom0403,Ice Cream,MCMong,kgn,110,10403
sdom0408,I Love Rock & Roll,高耀太,kgn,158,10408
sdom0436,Isn't It Strange,SamanthaMumba,kgn,144.58,10436
sdom0456,負擔,白智英,kgn,140,10456
sdom0460,ariari,李貞賢,kgn,144,10460
sdom0488,Special Angel,高耀太,kgn,113,10488
sdom0691,Like This 13,高耀太,kgn,140,10691
sdom0692,Tonight,高耀太,kgn,143,10692
sdom0696,請你恰恰,汪佩蓉&酷龍,kgn,133,10696
sdom0704,墜落天使,徐懷鈺,kgn,116,10704
sdom0882,Baby Cat,李孝利,kgn,110,10882
sdom0887,中國話,S.H.E,kgn,100,10887
sdom0984,月牙灣,飛兒樂團,kgn,87,10984
sdom0996,有沒有像我這樣的人,Super Junior,kgn,120,10996
sdom0998,聖少女領域,ALI PROJECT,kgn,137,10998
sdom1000,謊言,BigBang,kgn,125,11000
sdom1002,日之夏,GOLF MIKE,kgn,125.01,11002
sdom1005,來過倒,Super Junior,kgn,139.01,11005
sdom1010,淘氣女孩,裴澀琪,kgn,141,11010
sdom1023,去吧愛,張慧珍,kgn,135,11023
sdom1056,觸電,芭比娃娃,kgn,140,11056
sdom1062,PASIO,島谷,kgn,120,11062
sdom1069,彗星,允河,kgn,155,11069
sdom1070,just communication,TWO MAX,kgn,132,11070
sdom1083,Crazy Dog,BigBang,kgn,123,11083
sdom1084,傻瓜,BigBang,kgn,125,11084
sdom1085,最後的問候,Bigbang,kgn,135,11085
sdom1099,等待,高耀太,kgn,142.01,11099
sdom1105,月亮代表我的心裡有問題,三角COOL,kgn,94.02,11105
sdom1106,下雪的夜晚,神話,kgn,126,11106
sdom1116,絲路,梁靜茹,kgn,146,11116
sdom1117,DREAMS,Romantic mode,kgn,127.9,11117
sdom1118,INVOKE,T.M.Revolution,kgn,152.03,11118
sdom1120,I believe,Tata Young,kgn,117,11120
sdom1169,Fortune,玉置成實,kgn,137,11169
sdom1173,Reason,玉置成實,kgn,130,11173
sdom1181,My Name,烏龜,kgn,130,11181
sdom1182,Sing lala,烏龜,kgn,127,11182
sdom1183,便宜點吧,烏龜,kgn,130,11183
sdom1188,I Love You,Eight,kgn,130,11188
sdom1194,傻瓜,seeya,kgn,134,11194
sdom1197,危險的演出,蔡妍,kgn,134,11197
sdom1220,Gravitation,玩家原創,kgn,170,11220
sdom1221,Through the Fire and Flames,玩家原創,kgn,200.02,11221
sdom1222,black dragon,玩家原創,kgn,173,11222
sdom1223,Onoken,玩家原創,kgn,160,11223
sdom1228,SAS,玩家原創,kgn,136,11228
sdom1229,BadX,Techno Sensation,kgn,146,11229
sdom1231,Deja Vu,玩家原創,kgn,117,11231
sdom1232,STAY,STAY,kgn,160.08,11232
sdom1233,Turbo,黑貓,kgn,135.01,11233
sdom1234,God Know,平野綾,kgn,150,11234
sdom1235,為你唱的歌,SS501,kgn,128,11235
sdom1237,MonStAR,平野綾,kgn,148,11237
sdom1285,happy happy,宋寶蘭,kgn,155,11285
sdom1293,Selfish Love,LEXY,kgn,120,11293
sdom1296,Super Star,超新星,kgn,128,11296
sdom1298,穿越時空的愛戀,玩家原創,kgn,160,11298
sdom1306,Bad Boy,孫丹菲,kgn,130,11306
sdom1309,瘋了,MC夢,kgn,122,11309
sdom1352,Love Dance,Super Kidd,kgn,144,11352
sdom1357,Don't You Worry,Bown Eyes,kgn,118,11357
sdom1358,在我之前,Enjel,kgn,118,11358
sdom1361,搖擺吧,Kil,kgn,104,11361
sdom1363,Go!!,Rhymer,kgn,130,11363
sdom1408,step by step,Ballte,kgn,133,11408
sdom1410,BRAND NEW WORLD,D-51,kgn,160,11410
sdom1415,happy go,甦醒,kgn,130,11415
sdom1417,Lady,BigBang,kgn,103,11417
sdom1422,CRAZY LOVE,東方神起,kgn,129,11422
sdom1425,伸展翅膀,烏龜,kgn,135,11425
sdom1427,Luv U,Battle,kgn,126,11427
sdom1428,Oh My Friend,Bigbang,kgn,142,11428
sdom1430,Walk-My Love,J,kgn,120,11430
sdom1431,Romi,Change,kgn,140,11431
sdom1433,沒關係,SSEN,kgn,135,11433
sdom1435,U-Go-Girl,李孝利,kgn,101,11435
sdom1438,夏日的請求,OH SONG,kgn,134,11438
sdom1441,太陽昇起的那天,申智,kgn,130,11441
sdom1442,我愛你,徐智英,kgn,125,11442
sdom1445,The Heavens Remix,玩家原創,kgn,171,11445
sdom1446,愛情和戰爭,Davichi,kgn,132,11446
sdom1470,偶然の確率,GIRL NEXT DOOR,kgn,121,11470
sdom1471,間隔,G-Zone,kgn,135,11471
sdom1472,討厭,G-Zone,kgn,146,11472
sdom1473,Happy Birthday,NEWS,kgn,120,11473
sdom1474,untouched,The Veronicas,kgn,177,11474
sdom1477,WHATEVER,濱崎步,kgn,130,11477
sdom1479,TABO0,幸田來未,kgn,126,11479
sdom1480,The Kinslayer,Nightwish,kgn,177.58,11480
sdom1501,感覺特別,胡彥斌,kgn,89,11501
sdom1503,You are not alone,周定緯,kgn,60,11503
sdom1534,high and mighty color,amazing,kgn,94.5,11534
sdom1546,街道,林俊杰,kgn,125,11546
sdom1547,GHOST REVIVAL,玩家原創,kgn,148,11547
sdom1551,So What,周定緯,kgn,105,11551
sdom1552,Anisakis,玩家原創,kgn,185,11552
sdom1553,J219,玩家原創,kgn,160,11553
sdom1554,Second Heaven,玩家原創,kgn,149,11554
sdom1555,嘆息之樹,玩家原創,kgn,160,11555
sdom1557,華爛漫 -Flowers-,TERRA,kgn,160,11557
sdom1560,MOLA,News,kgn,120,11560
sdom1561,我的主題曲,江語晨,kgn,94,11561
sdom1562,快樂英雄,潘瑋柏,kgn,100,11562
sdom1563,リズム,青山黛瑪,kgn,127,11563
sdom1564,夢幻奇緣,袁成傑,kgn,130,11564
sdom1565,Mendes,玩家原創,kgn,168,11565
sdom1566,The Prince of Darkness,玩家原創,kgn,160,11566
sdom1567,Number 1,Bigbang,kgn,115,11567
sdom1568,你在我心中,Eugene,kgn,125,11568
sdom1572,只有你,高耀太,kgn,130,11572
sdom1573,青蛙不是王子,1983,kgn,94.4,11573
sdom1574,大声ダイヤモンド,AKB48,kgn,174,11574
sdom1575,Lollipop,Bigbang,kgn,120,11575
sdom1579,Super Man,Mario,kgn,116,11579
sdom1581,U R Man,SS501,kgn,117,11581
sdom1613,PlayBoy,Yipani,kgn,125,11613
sdom1614,不眠症,輝星,kgn,125.4,11614
sdom1615,櫻花開了,江語晨,kgn,85,11615
sdom1617,PARTY TONIGHT,金錫民,kgn,126.6,11617
sdom1618,厭倦,裴澀琪,kgn,120,11618
sdom1623,Survivor,東方神起,kgn,125,11623
sdom1624,After School,AH,kgn,122,11624
sdom1625,Just Dance,Lady GaGa,kgn,119,11625
sdom1626,第二晚,M.H.IS,kgn,120,11626
sdom1627,Why I like you,Super Junior,kgn,126,11627
sdom1632,"SORRY, SORRY",Super Junior,kgn,130,11632
sdom1685,Fire,2NE1,kgn,126,11685
sdom1686,Diva,After School,kgn,130,11686
sdom1688,傻瓜一樣,JunJin,kgn,125,11688
sdom1689,魅力人生,Miss Joo,kgn,110,11689
sdom1693,就是你,SuperJunior,kgn,120,11693
sdom1698,Go Go,高耀太,kgn,146,11698
sdom1699,Nonsense,高耀太,kgn,132,11699
sdom1700,更愛你,高耀太,kgn,130,11700
sdom1703,記憶與回憶,金泰宇,kgn,120,11703
sdom1704,夏娃的警告,高耀太,kgn,140,11704
sdom1705,真的嗎,高耀太,kgn,128,11705
sdom1706,I Like Choco,金正恩,kgn,120,11706
sdom1708,Vogue Girl,李貞賢,kgn,122,11708
sdom1709,你是我的,李貞賢,kgn,123.99,11709
sdom1731,連哭都是我的錯,東來東往,kgn,132,11731
sdom1737,So What,粉紅佳人,kgn,126,11737
sdom1738,Suga Luv,Bizniz,kgn,125,11738
sdom1739,說出願望吧,少女時代,kgn,123,11739
sdom1740,Etude,少女時代,kgn,128,11740
sdom1741,加減公式,Flying Girls,kgn,122,11741
sdom1742,白馬王子,Kara,kgn,126,11742
sdom1743,星光閃耀的夜晚,OneTwo,kgn,128,11743
sdom1746,stand by me,shinee,kgn,111,11746
sdom1772,Keep You Much Longer,Akon,kgn,120,11772
sdom1773,troublemaker,Akon,kgn,122,11773
sdom1775,So Beautiful,Bigbang,kgn,115,11775
sdom1779,Glam Girl,Brown Eyed Girls,kgn,126,11779
sdom1783,加減公式,Flying Girls,kgn,122,11783
sdom1784,奢望,FT Island,kgn,140,11784
sdom1792,hot stuff,davichi,kgn,130,11792
sdom1793,The show,Lenka,kgn,123,11793
sdom1794,I love you,拜託小姐,kgn,112,11794
sdom1795,搖擺,蔡妍,kgn,130,11795
sdom1797,Jingle Jingle Bells,Bless,kgn,120,11797
