gn,fileId,title,artist,src
sdom0435,10435,Straight to Bed,NEX,kgn
sdom0441,10441,神化,李貞賢,kgn
sdom0445,10445,sunny,張佑赫,kgn
sdom0451,10451,Cha Cha,Eugene,kgn
sdom0452,10452,I be there,S.WIT,kgn
sdom0459,10459,只對你有感覺,飛輪海,kgn
sdom0462,10462,誓言,徐懷鈺,kgn
sdom0464,10464,威尼斯迷路,許慧欣,kgn
sdom0471,10471,偶然,BabyV.O.X,kgn
sdom0474,10474,不可獲得,JoshuaC,kgn
sdom0476,10476,Always Come Back To Your Love,SamanthaMumba,kgn
sdom0477,10477,Hey boy,SeoJiYoung,kgn
sdom0480,10480,那麼愛你為什麼,turbo always,kgn
sdom0483,10483,Maria,金雅中,kgn
sdom0485,10485,I Lay My Love On You,WestLife,kgn
sdom0486,10486,Kiss Kiss,Mina,kgn
sdom0487,10487,1.2.3.4,高耀太,kgn
sdom0677,10677,to.lift.the.telephone(狐狸精原曲,mina,kgn
sdom0678,10678,性感寶貝,酷龍,kgn
sdom0679,10679,VIP,Bada,kgn
sdom0680,10680,王,mina,kgn
sdom0682,10682,誘惑,mina,kgn
sdom0683,10683,旋轉,Mina,kgn
sdom0684,10684,夢會成真,mina,kgn
sdom0686,10686,kissy kissy,smile,kgn
sdom0687,10687,where is the love,black eyed peas,kgn
sdom0690,10690,I Can Believe,高耀太,kgn
sdom0693,10693,不可避免的愛情,酷龍,kgn
sdom0694,10694,用腳踢,酷龍,kgn
sdom0700,10700,Kung Fu Chacha,任賢齊,kgn
sdom0872,10872,Queen,Bada,kgn
sdom0875,10875,Gotta Do,Ivy,kgn
sdom0880,10880,My love,蔡妍,kgn
sdom0891,10891,大小姐,金莎,kgn
sdom0895,10895,比舞大會,徐懷鈺,kgn
sdom0898,10898,Ba Yonga Wamba,Banaroo,kgn
sdom0900,10900,Rhythm of love,Yoomiii,kgn
sdom0901,10901,Who's loving who,Yoomiii,kgn
sdom0905,10905,看見,WAWA,kgn
sdom2024,12024,Bad Girl Good Girl,miss A,kgn
sdom2025,12025,Ring Ding Dong,SHINee,kgn
sdom2029,12029,This Is Love This Is Life,Bon Jovi,kgn
sdom2032,12032,戀愛,As One,kgn
sdom2033,12033,V.I.U,Beast,kgn
sdom2034,12034,Everything,D.Bace,kgn
sdom2037,12037,honey,郭書瑤,kgn
sdom2038,12038,didida,郭書瑤,kgn
sdom2039,12039,不會醒的夢,Taru,kgn
sdom2041,12041,快要瘋了,SeeYa,kgn
sdom2042,12042,W Song,Rain,kgn
sdom2043,12043,Step up,Miss A,kgn
sdom2044,12044,Freaky Like Me,Madcon Ameerah,kgn
sdom2045,12045,預見,J Ae,kgn
sdom2046,12046,停下,Gavy N.J,kgn
sdom2047,12047,O-IWI-O,G.O & Nassun,kgn
sdom2211,12211,通話連線聲音,SUNNY HILL,kgn
sdom2212,12212,Star(你迷上了我OST),姜敏赫(C.N Blue),kgn
sdom2214,12214,紅一葉,巡音,kgn
sdom2215,12215,遊走記憶的時間,nell,kgn
sdom2216,12216,你和我(城市獵人OST),Rainbow,kgn
sdom2218,12218,揮霍世間的愛,樸詩研,kgn
sdom2219,12219,Sunshine Girl,The Baits,kgn
sdom2224,12224,具智星的壞男人,具智星,kgn
sdom2225,12225,不分手的戀愛,汪蘇瀧,kgn
sdom2226,12226,在你身後,藝聲、張慧珍,kgn
sdom2227,12227,今天 我愛你(公主的男人OST),白智英,kgn
sdom2228,12228,010-7120-7984,殆死悲愛,kgn
sdom2229,12229,還我蔚藍,反光鏡樂隊,kgn
sdom2286,12286,一個步驟,林亨柱,kgn
sdom2287,12287,愛上你的那一天,樸信惠,kgn
sdom2293,12293,truth,伊藤由奈,kgn
sdom2326,12326,Good Bye Baby,bigbang,kgn
sdom2327,12327,Hotline,ciara,kgn
sdom2328,12328,也許喜歡,Gavy NJ,kgn
sdom2329,12329,出,Lisa,kgn
sdom2330,12330,Melt The Snow,Shayne Ward,kgn
sdom2331,12331,For KISS Me,U-KISS,kgn
sdom2332,12332,騙子,丁文琪,kgn
sdom2333,12333,守護你,金在中,kgn
sdom2334,12334,一半一半（料理情人夢片尾曲）,吴克羣,kgn
sdom2335,12335,說不出口的話,許永生,kgn
sdom2336,12336,戀文,Every Little Thing,kgn
sdom2337,12337,我傷害那個人,Kim Jin Yeop,kgn
sdom2338,12338,Love Song,Noel,kgn
sdom2339,12339,下雨天眼淚成河的女子,Seoryung,kgn
sdom2340,12340,Poisoned Apple,Seoryung,kgn
sdom2341,12341,傷心,Zia,kgn
sdom2342,12342,迴音,金寶京,kgn
sdom2343,12343,你是什麼,金元俊,kgn
sdom2344,12344,Trouble Maker,泫雅 張賢勝,kgn
sdom2345,12345,花一般的你,勇俊(Brown Eyed Soul)、Simon D,kgn
sdom2346,12346,turn around,samantha jade,kgn
sdom2347,12347,U Turn,Alexander,kgn
sdom2348,12348,Love Dealer,Esmée Denters,kgn
sdom2349,12349,With Love,Hilary Duff,kgn
sdom2350,12350,Moves Like Jagger,Maroon 5,kgn
sdom2351,12351,仍然愛你,CNBLUE,kgn
sdom2352,12352,愛、テキサス,山下智久,kgn
sdom2353,12353,"oppa, oppa",東海、銀赫,kgn
sdom2354,12354,是情人也是朋友,黑Girl,kgn
sdom2356,12356,ハロ／ハワユ,鹿乃,kgn
sdom2357,12357,My Baby,西野加奈,kgn
sdom2358,12358,シンクロのときめき,渡邊麻友,kgn
sdom2359,12359,Honesty,SHINee,kgn
sdom2360,12360,love day,梁耀燮 鄭恩地,kgn
sdom2361,12361,What the Hell,Avril Lavigne,kgn
sdom2362,12362,SAKURA' I love you,xi ye jia nai,kgn
sdom2363,12363,在別人的懷抱裡,樸振英、佳仁,kgn
sdom2364,12364,壞女孩,Ella,kgn
sdom2365,12365,to the beginning,Kalafina,kgn
sdom2366,12366,What I See,Prepix,kgn
sdom2367,12367,M - 華麗的獨秀,Super Junior,kgn
sdom2368,12368,告白,supercell,kgn
sdom2369,12369,逆戰,張傑,kgn
sdom2370,12370,Stupid Love,超新星,kgn
sdom2371,12371,你怕誰,大嘴巴,kgn
sdom2372,12372,變了麼,殆死悲愛,kgn
sdom2373,12373,有我在,羅志祥,kgn
sdom2374,12374,oath sign,Lisa,kgn
sdom2375,12375,月に丛云华に风,senya,kgn
